title,directedBy,starring,imdbId,item_id
Eat Drink Man Woman (Yin shi nan nu) (1994),Ang Lee,"Sihung Lung, Yu-Wen Wang, Chien-lien Wu, Kuei-Mei Yang, Sylvia Chang",0111797,232
Exotica (1994),Atom Egoyan,"Calvin Green, David Hemblen, Peter Krantz, Don McKellar, Mia Kirshner, Elias Koteas, Bruce Greenwood",0109759,233
Exit to Eden (1994),Garry Marshall,"Dan Aykroyd, Paul Mercurio, Dana Delany, Rosie O'Donnell",0109758,234
Ed Wood (1994),Tim Burton,"Johnny Depp, Martin Landau, Patricia Arquette, Sarah Jessica Parker, Bill Murray",0109707,235
Forget Paris (1995),Billy Crystal,"Billy Crystal, Joe Mantegna, Cynthia Stevenson, Debra Winger",0113097,237
Far From Home: The Adventures of Yellow Dog (1995),Phillip Borsos,"Tom Bower, Jesse Bradford, Bruce Davison, Mimi Rogers",0113028,238
Heavyweights (Heavy Weights) (1995),Steven Brill,"David Goldman, Joseph Wayne Miller, Cody Burger, Allen Covert, Tim Blake Nelson, Nancy Ringham, Ben Stiller",0110006,250
Interview with the Vampire: The Vampire Chronicles (1994),Neil Jordan,"Tom Cruise, Brad Pitt, Kirsten Dunst, Stephen Rea, Antonio Banderas",0110148,253
"Kid in King Arthur's Court, A (1995)",Michael Gottlieb,"Joss Ackland, Art Malik, Thomas Ian Nicholas, Paloma Baeza",0113538,258
Star Wars: Episode IV - A New Hope (1977),George Lucas,"Mark Hamill, Harrison Ford, Carrie Fisher, Peter Cushing, Alec Guinness, James Earl Jones, Anthony Daniels, Kenny Baker, Peter Mayhew, Denis Lawson, David Prowse",0076759,260
Little Women (1994),Gillian Armstrong,"Gabriel Byrne, Trini Alvarado, Samantha Mathis, Winona Ryder, Claire Danes, Kirsten Dunst, Susan Sarandon",0110367,261
Ladybird Ladybird (1994),Ken Loach,"Vladimir Vega, Mauricio Venegas, Sandie Lavelle, Crissy Rock",0110296,263
Like Water for Chocolate (Como agua para chocolate) (1992),Alfonso Arau,"Marco Leonardi, Lumi Cavazos, Regina Torné, Mario Iván Martínez, Ada Carrasco",0103994,265
Legends of the Fall (1994),Edward Zwick,"Anthony Hopkins, Brad Pitt, Aidan Quinn, Julia Ormond",0110322,266
Major Payne (1995),Nick Castle,"Damon Wayans, Karyn Parsons, William Hickey, Michael Ironside, Albert Hall",0110443,267
My Crazy Life (Mi vida loca) (1993),Allison Anders,"Angel Aviles, Seidy Lopez, Jacob Vargas, Devine",0107566,269
Love Affair (1994),Glenn Gordon Caron,"Warren Beatty, Garry Shandling, Annette Bening, Katharine Hepburn",0110391,270
"Madness of King George, The (1994)",Nicholas Hytner,"Nigel Hawthorne, Ian Holm, Helen Mirren, Rupert Graves, Amanda Donohoe, Rupert Everett",0110428,272
Milk Money (1994),Richard Benjamin,"Michael Patrick Carter, Ed Harris, Malcolm McDowell, Melanie Griffith",0110516,276
Miracle on 34th Street (1994),Les Mayfield,"Richard Attenborough, Dylan McDermott, J.T. Walsh, Elizabeth Perkins",0110527,277
Nell (1994),Michael Apted,"Richard Libertini, Liam Neeson, Jodie Foster, Natasha Richardson",0110638,282
Natural Born Killers (1994),Oliver Stone,"Woody Harrelson, Juliette Lewis, Rodney Dangerfield, Tommy Lee Jones, Robert Downey Jr., Richard Lineback, Balthazar Getty, Ed White, O-Lan Jones",0110632,288
Only You (1994),Norman Jewison,"Marisa Tomei, Robert Downey Jr., Bonnie Hunt, Joaquim de Almeida, Fisher Stevens, Billy Zane, Adam LeFevre, John Benjamin Hickey, Siobhan Fallon, ",0110737,289
Léon: The Professional (a.k.a. The Professional) (Léon) (1994),Luc Besson,"Jean Reno, Gary Oldman, Natalie Portman, Danny Aiello, Peter Appel",0110413,293
Pulp Fiction (1994),Quentin Tarantino,"John Travolta, Samuel L. Jackson, Tim Roth, Amanda Plummer, Eric Stoltz, Bruce Willis, Ving Rhames, Phil LaMarr, Maria de Medeiros, Rosanna Arquette, Peter Greene, Uma Thurman, Duane Whitaker, Frank Whaley, Steve Buscemi, Christopher Walken, Julia Sweeney, Alexis Arquette, Kathy Griffin, Quentin Tarantino, Harvey Keitel",0110912,296
Priest (1994),Antonia Bird,"Robert Carlyle, Linus Roache, Tom Wilkinson, Cathy Tyson",0110889,299
"Queen Margot (Reine Margot, La) (1994)",Patrice Chéreau,"Isabelle Adjani, Daniel Auteuil, Jean-Hugues Anglade, Vincent Perez, Virna Lisi, Dominique Blanc, Asia Argento, Thomas Kretschmann, Barbet Schroeder, Otto Tausig, Valeria Bruni Tedeschi, Julie-Anne Roth",0110963,302
Ready to Wear (Pret-A-Porter) (1994),Robert Altman,"Marcello Mastroianni, Sophia Loren, Jean-Pierre Cassel, Kim Basinger,Stephen Rea, Rupert Everett, Lili Taylor, Forest Whitaker, Julia Roberts, Tim Robbins, Lauren Bacall, Lyle Lovett, Tracey Ullman, Cher",0110907,305
Three Colors: White (Trzy kolory: Bialy) (1994),Krzysztof Kieslowski,"Zbigniew Zamachowski, Julie Delpy, Janusz Gajos, Jerzy Stuhr, Aleksander Bardini",0111507,308
"Swan Princess, The (1994)",Richard Rich,"John Cleese, Howard McGillin, Jack Palance, Michelle Nicastro",0111333,313
"Secret of Roan Inish, The (1994)",John Sayles,"Dave Duffy, Declan Hannigan, Pat Slowey, Jeni Courtney",0111112,314
"Santa Clause, The (1994)",John Pasquin,"Tim Allen, Eric Lloyd, Judge Reinhold, Wendy Crewson, David Krumholtz, Larry Brandenburg, Peter Boyle",0111070,317
"Shawshank Redemption, The (1994)",Frank Darabont,"Tim Robbins, Morgan Freeman, Bob Gunton, William Sadler, Clancy Brown, Gil Bellows, James Whitmore",0111161,318
Shallow Grave (1994),Danny Boyle,"Christopher Eccleston, Ewan McGregor, Ken Stott, Kerry Fox",0111149,319
Swimming with Sharks (1995),George Huang,"Kevin Spacey, Frank Whaley, Michelle Forbes, Benicio Del Toro, T.E. Russell",0114594,322
National Lampoon's Senior Trip (1995),Kelly Makin,"Matt Frewer, Valerie Mahaffey, Lawrence Dane, Tommy Chong, Jeremy Renner, Eric Edwards, Kevin McDonald, Tara Strong, Nicole de Boer, Wayne Robson, George R. Robertson, DJ Qualls",0113936,325
To Live (Huozhe) (1994),Yimou Zhang,"You Ge, Li Gong, Wu Jiang, Deng Fei, Tao Guo",0110081,326
Tank Girl (1995),Rachel Talalay,"Lori Petty, Naomi Watts, Don Harvey, Ice-T, Malcolm McDowell, Iggy Pop",0114614,327
Tales from the Crypt Presents: Demon Knight (1995),"Ernest R. Dickerson, Gilbert Adler","Billy Zane, William Sadler, Jada Pinkett Smith, CCH Pounder, Dick Miller, Thomas Haden Church, Gary Farmer, Charles Fleischer, Traci Bingham, John Larroquette",0114608,328
Tales from the Hood (1995),Rusty Cundieff,"De'aundre Bonds, Samuel Monroe Jr., Joe Torry, Clarence Williams III",0114609,330
Tom & Viv (1994),Brian Gilbert,"Willem Dafoe, Tim Dutton, Rosemary Harris, Miranda Richardson",0111454,331
Village of the Damned (1995),John Carpenter,"Michael Paré, Christopher Reeve, Kirstie Alley, Linda Kozlowski",0114852,332
What's Eating Gilbert Grape (1993),Lasse Hallström,"Johnny Depp, Leonardo DiCaprio, Juliette Lewis, Mary Steenburgen, Darlene Cates",0108550,337
Virtuosity (1995),Brett Leonard,"Russell Crowe, Stephen Spinella, Denzel Washington, Kelly Lynch, William Forsythe, Louise Fletcher, William Fichtner, Costas Mandylor,",0114857,338
"War, The (1994)",Jon Avnet,"Kevin Costner, Elijah Wood, Lexi Randall, Mare Winningham",0111667,340
Ace Ventura: Pet Detective (1994),Tom Shadyac,"Jim Carrey, Courteney Cox, Sean Young, Tone Loc",0109040,344
"Client, The (1994)",Joel Schumacher,"Susan Sarandon, Tommy Lee Jones, Mary-Louise Parker, Anthony LaPaglia, J.T. Walsh, Anthony Edwards, Brad Renfro, Will Patton, Bradley Whitford, Anthony Heald, Kim Coates, Kimberly Scott, William H. Macy, Ossie Davis, William Sanderson, Dan Castellaneta, John Diehl",0109446,350
"Corrina, Corrina (1994)",Jessie Nelson,"Ray Liotta, Whoopi Goldberg, Tina Majorino, Wendy Crewson, Larry Miller, Lucy Webb",0109484,351
Forrest Gump (1994),Robert Zemeckis,"Tom Hanks, Gary Sinise, Mykelti Williamson, Robin Wright Penn, Sally Field",0109830,356
I Love Trouble (1994),Charles Shyer,"Nick Nolte, James Rebhorn, Saul Rubinek, Julia Roberts",0110093,360
"Lion King, The (1994)","Roger Allers, Rob Minkoff","Matthew Broderick, James Earl Jones, Rowan Atkinson, Jonathan Taylor Thomas, Niketa Calame, Moira Kelly, Ernie Sabella, Nathan Lane, Whoopi Goldberg, Cheech Marin, Jim Cummings",0110357,364
Little Buddha (1993),Bernardo Bertolucci,"Chris Isaak, Keanu Reeves, Ruocheng Ying, Bridget Fonda, Alex Wiesendanger",0107426,365
"Wes Craven's New Nightmare (Nightmare on Elm Street Part 7: Freddy's Finale, A) (1994)",Wes Craven,"Heather Langenkamp, Robert Englund, Miko Hughes, Wes Craven, John Saxon",0111686,366
Maverick (1994),Richard Donner,"James Garner, Mel Gibson, Graham Greene, Jodie Foster, James Coburn, Alfred Molina, Dan Hedaya",0110478,368
Naked Gun 33 1/3: The Final Insult (1994),Peter Segal,"Leslie Nielsen, George Kennedy, O.J. Simpson, Priscilla Presley, Fred Ward, Kathleen Freeman, Anna Nicole Smith, Earl Boen",0110622,370
Reality Bites (1994),Ben Stiller,"Winona Ryder, Ethan Hawke, Janeane Garofalo, Steve Zahn, Ben Stiller, Swoosie Kurtz, Joe Don Baker, Renée Zellweger, John Mahoney, John Walsh, Andy Dick, Keith David, Pat Crawford Brown, Karen Duffy, Anthony Robbins, David Spade, Jeanne Tripplehorn",0110950,372
"River Wild, The (1994)",Curtis Hanson,"Meryl Streep, Kevin Bacon, David Strathairn, Joseph Mazzello, John C. Reilly, Benjamin Bratt, Stephanie Sawyer, Diane Delano",0110997,376
Speed (1994),Jan de Bont,"Dennis Hopper, Joe Morton, Keanu Reeves, Sandra Bullock",0111257,377
Speechless (1994),Ron Underwood,"Michael Keaton, Christopher Reeve, Bonnie Bedelia, Geena Davis",0111256,378
True Lies (1994),James Cameron,"Arnold Schwarzenegger, Jamie Lee Curtis, Tom Arnold, Bill Paxton, Tia Carrere, Art Malik, Eliza Dushku, Grant Heslov, Charlton Heston, Marshall Manesh, James Allen, ",0111503,380
When a Man Loves a Woman (1994),Luis Mandoki,"Andy Garcia, Ellen Burstyn, Tina Majorino, Meg Ryan, Philip Seymour Hoffman",0111693,381
Wolf (1994),Mike Nichols,"Jack Nicholson, Michelle Pfeiffer, James Spader, Kate Nelligan, Richard Jenkins, Christopher Plummer, David Hyde Pierce, Om Puri, Ron Rifkin, Allison Janney, William Hill, David Schwimmer",0111742,382
Wyatt Earp (1994),Lawrence Kasdan,"Kevin Costner, Dennis Quaid, Gene Hackman, David Andrews, Linden Ashby, Jeff Fahey, Joanna Going, Mark Harmon, Michael Madsen, Catherine O'Hara, Bill Pullman, Isabella Rossellini, Tom Sizemore, JoBeth Williams, Mare Winningham, James Gammon, Rex Linn, Adam Baldwin, Annabeth Gish, Lewis Smith, Betty Buckley, Alison Elliott, Mackenzie Astin, James Caviezel, Karen Grassle, John Dennis Johnston, Téa Leoni, Jack Kehler, Brett Cullen",0111756,383
Bad Company (1995),Damian Harris,"Ellen Barkin, Laurence Fishburne, Frank Langella, Michael Beach, Gia Carides, David Ogden Stiers, Spalding Gray",0112443,384
Jason's Lyric (1994),Doug McHenry,"Anthony 'Treach' Criss, Allen Payne, Bokeem Woodbine, Jada Pinkett Smith",0110186,391
Street Fighter (1994),Steven E. de Souza,"Raul Julia, Jean-Claude Van Damme, Ming-Na, Kylie Minogue, Simon Callow",0111301,393
Coldblooded (1995),Wallace Wolodarsky,"Jason Priestley, Peter Riegert, Kimberly Williams, Robert Loggia,",0112702,394
In the Mouth of Madness (1995),John Carpenter,"Charlton Heston, Sam Neill, Jürgen Prochnow, Julie Carmen",0113409,407
8 Seconds (1994),John G. Avildsen,"Cameron Finley, Dustin Mayfield, James Rebhorn, Carrie Snodgress",0109021,408
"Age of Innocence, The (1993)",Martin Scorsese,"Daniel Day-Lewis, Linda Faye Farkas, Michelle Pfeiffer, Winona Ryder",0106226,412
"Air Up There, The (1994)",Paul Michael Glaser,"Kevin Bacon, Charles Gitonga Maina, Winston Ntshona, Yolanda Vazquez",0109067,414
Another Stakeout (1993),John Badham,"Richard Dreyfuss, Emilio Estevez, Dennis Farina, Rosie O'Donnell",0106292,415
Blue Chips (1994),William Friedkin,"Nick Nolte, Ed O'Neill, J.T. Walsh, Mary McDonnell",0109305,424
Boxing Helena (1993),Jennifer Chambers Lynch,"Bill Paxton, Julian Sands, Kurtwood Smith, Sherilyn Fenn",0106471,427
"Bronx Tale, A (1993)",Robert De Niro,"Robert De Niro, Chazz Palminteri, Lillo Brancato, Francis Capra, Kathrine Narducci, Joe Pesci, Joe D'Onofrio, ",0106489,428
Cabin Boy (1994),Adam Resnick,"Ritch Brinkley, Brian Doyle-Murray, Chris Elliott, James Gammon, Ricki Lake",0109361,429
Cliffhanger (1993),Renny Harlin,"John Lithgow, Michael Rooker, Sylvester Stallone, Janine Turner, Paul Winfield",0106582,434
Coneheads (1993),Steve Barron,"Dan Aykroyd, Michael McKean, Michelle Burke, Jane Curtin",0106598,435
